Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,6100.660156,6106.120117,6083.060059,6102.660156,6102.660156,1909710000
2017-05-09,6111.819824,6133.000000,6107.589844,6120.589844,6120.589844,1997490000
2017-05-10,6121.640137,6131.640137,6103.870117,6129.140137,6129.140137,2108000000
2017-05-11,6110.049805,6120.200195,6075.680176,6115.959961,6115.959961,1950910000
2017-05-12,6119.270020,6122.839844,6105.419922,6121.229980,6121.229980,1740960000
2017-05-15,6128.109863,6153.040039,6124.790039,6149.669922,6149.669922,1850790000
2017-05-16,6160.520020,6170.160156,6139.100098,6169.870117,6169.870117,1999330000
2017-05-17,6108.620117,6122.870117,6009.479980,6011.240234,6011.240234,2347480000
2017-05-18,5998.459961,6073.450195,5996.810059,6055.129883,6055.129883,2131520000
2017-05-19,6070.229980,6106.549805,6070.229980,6083.700195,6083.700195,1905520000
2017-05-22,6098.250000,6135.919922,6097.240234,6133.620117,6133.620117,1726230000
2017-05-23,6149.549805,6150.910156,6121.790039,6138.709961,6138.709961,1705860000
2017-05-24,6154.180176,6166.089844,6139.330078,6163.020020,6163.020020,1666050000
2017-05-25,6183.020020,6217.339844,6174.520020,6205.259766,6205.259766,1767690000
2017-05-26,6207.040039,6211.520020,6196.660156,6210.189941,6210.189941,1571040000
2017-05-30,6204.180176,6217.129883,6200.410156,6203.189941,6203.189941,1688480000
2017-05-31,6221.629883,6221.990234,6164.069824,6198.520020,6198.520020,2209400000
2017-06-01,6215.910156,6247.069824,6200.450195,6246.830078,6246.830078,1943610000
2017-06-02,6261.589844,6308.759766,6253.770020,6305.799805,6305.799805,1820000000
2017-06-05,6305.470215,6310.620117,6292.149902,6295.680176,6295.680176,1739820000
2017-06-06,6281.879883,6304.209961,6269.870117,6275.060059,6275.060059,1889690000
2017-06-07,6290.439941,6302.779785,6267.180176,6297.379883,6297.379883,1822270000
2017-06-08,6311.729980,6324.060059,6282.930176,6321.759766,6321.759766,2128780000
2017-06-09,6330.250000,6341.700195,6137.680176,6207.919922,6207.919922,3152050000
2017-06-12,6153.560059,6183.810059,6110.669922,6175.459961,6175.459961,2586540000
2017-06-13,6206.120117,6226.410156,6180.040039,6220.370117,6220.370117,2062110000
2017-06-14,6237.459961,6237.529785,6153.549805,6194.890137,6194.890137,1940440000
2017-06-15,6127.049805,6170.149902,6107.850098,6165.500000,6165.500000,1858130000
2017-06-16,6154.279785,6161.560059,6125.500000,6151.759766,6151.759766,3120640000
2017-06-19,6196.850098,6243.310059,6194.000000,6239.009766,6239.009766,1976970000
2017-06-20,6229.620117,6234.009766,6186.939941,6188.029785,6188.029785,2570130000
2017-06-21,6202.750000,6236.660156,6200.859863,6233.950195,6233.950195,2401440000
2017-06-22,6239.149902,6257.680176,6221.959961,6236.689941,6236.689941,2170250000
2017-06-23,6234.350098,6269.370117,6218.779785,6265.250000,6265.250000,4158700000
2017-06-26,6292.729980,6303.450195,6233.430176,6247.149902,6247.149902,2150630000
2017-06-27,6227.899902,6234.319824,6146.620117,6146.620117,6146.620117,2181830000
2017-06-28,6173.100098,6238.290039,6144.799805,6234.410156,6234.410156,2069400000
2017-06-29,6215.490234,6216.600098,6087.810059,6144.350098,6144.350098,2402250000
2017-06-30,6166.839844,6170.629883,6129.040039,6140.419922,6140.419922,1998330000
2017-07-03,6173.290039,6177.359863,6106.120117,6110.060059,6110.060059,1099560000
2017-07-05,6122.060059,6163.620117,6100.419922,6150.859863,6150.859863,1872130000
2017-07-06,6109.600098,6127.979980,6081.959961,6089.459961,6089.459961,1990590000
2017-07-07,6111.209961,6164.939941,6111.209961,6153.080078,6153.080078,1700630000
2017-07-10,6156.029785,6191.270020,6141.830078,6176.390137,6176.390137,1675470000
2017-07-11,6171.250000,6200.580078,6149.870117,6193.299805,6193.299805,1808110000
2017-07-12,6238.899902,6265.640137,6236.819824,6261.169922,6261.169922,1820550000
2017-07-13,6269.100098,6281.450195,6251.259766,6274.439941,6274.439941,1803810000
2017-07-14,6289.080078,6321.759766,6278.700195,6312.470215,6312.470215,1608120000
2017-07-17,6320.350098,6330.970215,6307.339844,6314.430176,6314.430176,1558030000
2017-07-18,6304.819824,6344.549805,6291.069824,6344.310059,6344.310059,1762400000
2017-07-19,6363.240234,6387.729980,6362.189941,6385.040039,6385.040039,1862910000
2017-07-20,6396.459961,6398.259766,6365.680176,6390.000000,6390.000000,1818880000
2017-07-21,6383.049805,6388.779785,6365.120117,6387.750000,6387.750000,1797100000
2017-07-24,6387.819824,6417.700195,6380.609863,6410.810059,6410.810059,1735520000
2017-07-25,6407.589844,6425.450195,6396.870117,6412.169922,6412.169922,1925230000
2017-07-26,6425.930176,6432.379883,6416.299805,6422.750000,6422.750000,1988040000
2017-07-27,6459.759766,6460.839844,6318.620117,6382.189941,6382.189941,2483560000
2017-07-28,6350.270020,6379.700195,6337.220215,6374.680176,6374.680176,1860770000
2017-07-31,6394.689941,6396.589844,6338.790039,6348.120117,6348.120117,1891710000
2017-08-01,6372.160156,6375.750000,6345.750000,6362.939941,6362.939941,1812590000
2017-08-02,6393.100098,6394.209961,6313.430176,6362.649902,6362.649902,2104130000
2017-08-03,6366.240234,6368.529785,6331.140137,6340.339844,6340.339844,2113440000
2017-08-04,6350.790039,6361.490234,6329.729980,6351.560059,6351.560059,1907170000
2017-08-07,6361.060059,6386.029785,6356.229980,6383.770020,6383.770020,1701550000
2017-08-08,6373.330078,6423.350098,6355.879883,6370.459961,6370.459961,1914670000
2017-08-09,6322.919922,6355.040039,6309.439941,6352.330078,6352.330078,2033760000
2017-08-10,6312.649902,6318.279785,6214.410156,6216.870117,6216.870117,2204700000
2017-08-11,6222.180176,6266.890137,6216.189941,6256.560059,6256.560059,1794850000
2017-08-14,6306.109863,6346.830078,6305.549805,6340.229980,6340.229980,1698560000
2017-08-15,6350.509766,6350.740234,6324.750000,6333.009766,6333.009766,1580060000
2017-08-16,6348.109863,6374.560059,6330.270020,6345.109863,6345.109863,1804730000
2017-08-17,6322.720215,6334.229980,6221.910156,6221.910156,6221.910156,2041220000
2017-08-18,6222.459961,6254.220215,6193.379883,6216.529785,6216.529785,1964590000
2017-08-21,6216.319824,6226.930176,6177.189941,6213.129883,6213.129883,1576070000
2017-08-22,6241.209961,6302.839844,6241.209961,6297.479980,6297.479980,1597700000
2017-08-23,6263.470215,6291.299805,6263.290039,6278.410156,6278.410156,1533220000
2017-08-24,6294.819824,6302.850098,6244.569824,6271.330078,6271.330078,1616780000
2017-08-25,6293.810059,6308.720215,6257.100098,6265.640137,6265.640137,1442900000
2017-08-28,6286.009766,6292.259766,6267.850098,6283.020020,6283.020020,1558690000
2017-08-29,6228.899902,6311.259766,6228.729980,6301.890137,6301.890137,1637640000
2017-08-30,6308.680176,6374.470215,6303.569824,6368.310059,6368.310059,1712070000
2017-08-31,6385.799805,6435.270020,6383.580078,6428.660156,6428.660156,1885710000
2017-09-01,6442.169922,6449.649902,6417.870117,6435.330078,6435.330078,1488040000
2017-09-05,6414.819824,6426.509766,6334.589844,6375.569824,6375.569824,1886950000
2017-09-06,6394.350098,6407.399902,6356.200195,6393.310059,6393.310059,1906030000
2017-09-07,6402.939941,6413.069824,6379.810059,6397.870117,6397.870117,1998380000
2017-09-08,6389.649902,6391.410156,6354.959961,6360.189941,6360.189941,1785560000
2017-09-11,6411.180176,6439.109863,6410.709961,6432.259766,6432.259766,1819300000
2017-09-12,6448.810059,6455.029785,6429.540039,6454.279785,6454.279785,1745090000
2017-09-13,6440.720215,6460.419922,6433.200195,6460.189941,6460.189941,1942090000
2017-09-14,6439.459961,6455.319824,6424.040039,6429.080078,6429.080078,1809170000
2017-09-15,6426.160156,6464.270020,6419.649902,6448.470215,6448.470215,2821110000
2017-09-18,6460.100098,6477.770020,6438.410156,6454.640137,6454.640137,1874440000
2017-09-19,6465.569824,6467.790039,6446.750000,6461.319824,6461.319824,1809710000
2017-09-20,6459.740234,6466.049805,6414.229980,6456.040039,6456.040039,2052520000
2017-09-21,6448.569824,6448.569824,6405.299805,6422.689941,6422.689941,1772790000
2017-09-22,6401.439941,6429.540039,6400.810059,6426.919922,6426.919922,1639100000
2017-09-25,6403.109863,6408.049805,6343.959961,6370.589844,6370.589844,2050410000
2017-09-26,6391.850098,6405.000000,6364.569824,6380.160156,6380.160156,1926420000
2017-09-27,6414.370117,6472.649902,6405.359863,6453.259766,6453.259766,2053720000
2017-09-28,6437.959961,6456.229980,6427.660156,6453.450195,6453.450195,1828570000
